936  [main] INFO  org.linqs.psl.runtime.Runtime  - PSL Runtime Version 2.4.0-aad67da
7363 [main] INFO  org.linqs.psl.util.RandUtils  - Using random seed: 31702938
403255 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
403642 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 40.628387, Violated Constraints: 0, Total Optimization Time: 384, Total Number of Iterations: 151
403642 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
403659 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
465371 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 68.87152, Violated Constraints: 34, Total Optimization Time: 61430, Total Number of Iterations: 25001
465371 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
465386 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
465780 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 41.92142, Violated Constraints: 0, Total Optimization Time: 392, Total Number of Iterations: 151
465780 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
465795 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
526005 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 65.801094, Violated Constraints: 34, Total Optimization Time: 59944, Total Number of Iterations: 25001
526006 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
526019 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
526394 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.393974, Violated Constraints: 0, Total Optimization Time: 371, Total Number of Iterations: 151
526395 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
526408 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
586164 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 66.840836, Violated Constraints: 34, Total Optimization Time: 59481, Total Number of Iterations: 25001
586164 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
586178 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
586544 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 40.619114, Violated Constraints: 0, Total Optimization Time: 363, Total Number of Iterations: 151
586544 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
586557 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
646844 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.70635, Violated Constraints: 34, Total Optimization Time: 60009, Total Number of Iterations: 25001
646844 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
646857 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
