1145	other	0.18108289
13995	business	0.18282887
13995	industry	0.18934292
13995	macro	0.24654026
13995	government	0.19980384
13995	other	0.18148404
16853	business	0.18420449
16853	industry	0.18902828
16853	macro	0.24498717
16853	government	0.19504423
16853	other	0.18451187
2825	business	0.18282482
2825	industry	0.19200121
2825	macro	0.24225195
2825	government	0.19985695
2825	other	0.1830647
19312	business	0.18145563
19312	industry	0.1878112
19312	macro	0.25056195
19312	government	0.19900143
19312	other	0.18115917
19642	business	0.18324105
19642	industry	0.18901542
19642	macro	0.2486788
19642	government	0.19596148
19642	other	0.18309233
19949	business	0.18403667
19949	industry	0.18901217
19949	macro	0.24601156
19949	government	0.19571084
19949	other	0.1835328
32637	business	0.1816958
32637	industry	0.18687874
32637	macro	0.25620297
32637	government	0.19516595
32637	other	0.18004587
35362	business	0.1809615
35362	industry	0.18723312
35362	macro	0.25272962
35362	government	0.19889589
35362	other	0.18017729
56329	business	0.18395089
56329	industry	0.18860726
56329	macro	0.24761522
56329	government	0.1955146
56329	other	0.18338075
24673	business	0.1836522
24673	industry	0.19204153
24673	macro	0.23905706
24673	government	0.19956449
24673	other	0.18568455
245	business	0.09271105
245	industry	0.25728145
245	macro	0.15171106
245	government	0.32588542
245	other	0.17241102
515	business	0.09405063
515	industry	0.25636974
515	macro	0.16295062
515	government	0.3278784
515	other	0.15875062
5443	business	0.16711959
5443	industry	0.19782251
5443	macro	0.20518048
5443	government	0.25566238
5443	other	0.17421503
5800	business	0.17923303
5800	industry	0.19299492
5800	macro	0.2254999
5800	government	0.22035399
5800	other	0.18191797
2022	business	0.17767656
2022	industry	0.1858741
2022	macro	0.25075322
2022	government	0.20378615
2022	other	0.18190987
4934	business	0.182078
4934	industry	0.18733934
4934	macro	0.24484143
4934	government	0.20223914
4934	other	0.18349913
5339	business	0.11847873
5339	industry	0.2243787
5339	macro	0.24925488
5339	government	0.26290897
5339	other	0.14497876
11913	business	0.18123831
11913	industry	0.18816397
11913	macro	0.24689585
11913	government	0.20022498
11913	other	0.18347655
75	business	0.18413605
75	industry	0.19070429
75	macro	0.24345005
75	government	0.19716738
75	other	0.1845394
3224	business	0.18283696
3224	industry	0.18834494
3224	macro	0.24678063
3224	government	0.19796549
3224	other	0.18404047
6200	business	0.17839134
6200	industry	0.18621065
6200	macro	0.25450942
6200	government	0.19973522
6200	other	0.18115304
1317	business	0.08777344
1317	industry	0.2515427
1317	macro	0.17587347
1317	government	0.33083695
1317	other	0.15397345
66	business	0.138179
66	industry	0.19607902
66	macro	0.16157898
66	government	0.25870675
66	other	0.24545634
203	business	0.13757259
203	industry	0.18407255
203	macro	0.15367258
203	government	0.27029446
203	other	0.25438786
2075	business	0.17018086
2075	industry	0.20726198
2075	macro	0.20519494
2075	government	0.24835289
2075	other	0.16900936
11343	business	0.18338966
11343	industry	0.19007489
11343	macro	0.23859125
11343	government	0.20420255
11343	other	0.18358694
1550	business	0.18532303
1550	industry	0.19418132
1550	macro	0.23631175
1550	government	0.19903898
1550	other	0.18513381
24	business	0.17048305
24	industry	0.2043699
24	macro	0.19336043
24	government	0.2501502
24	other	0.1816364
35510	business	0.18428229
35510	industry	0.22015645
35510	macro	0.20778653
35510	government	0.20600778
35510	other	0.18176699
32870	business	0.1792807
32870	industry	0.18688063
32870	macro	0.26211286
32870	government	0.19467989
32870	other	0.17704576
58353	business	0.21051952
58353	industry	0.25922185
58353	macro	0.1469195
58353	government	0.24101956
58353	other	0.14231952
96354	business	0.18327974
96354	industry	0.19024748
96354	macro	0.24792558
96354	government	0.19567817
96354	other	0.18285778
42133	business	0.18433861
42133	industry	0.19048066
42133	macro	0.2410407
42133	government	0.19918187
42133	other	0.18488088
91407	business	0.18556254
91407	industry	0.19080238
91407	macro	0.24228056
91407	government	0.19605984
91407	other	0.18514098
70397	business	0.18285878
70397	industry	0.1916439
70397	macro	0.24592371
70397	government	0.19701485
70397	other	0.18255848
52214	business	0.18498178
52214	industry	0.19031177
52214	macro	0.24372065
52214	government	0.19658649
52214	other	0.18432418
56172	business	0.18616924
56172	industry	0.19220221
56172	macro	0.24038525
56172	government	0.19612813
56172	other	0.18483625
45296	business	0.18359923
45296	industry	0.19029231
45296	macro	0.24627316
45296	government	0.19822699
45296	other	0.1815331
6393	business	0.18516576
6393	industry	0.19165835
6393	macro	0.23803028
6393	government	0.2007529
6393	other	0.18438148
19782	business	0.18221474
19782	industry	0.1923914
19782	macro	0.2331834
19782	government	0.21066283
19782	other	0.1815473
37453	business	0.18348542
37453	industry	0.18919641
